compound_id,inchikey,canonical_smiles,insecticidal_active,molecule_chembl_id,n_assay_records,n_active_records,n_inactive_records,best_pchembl,median_pchembl,assay_types,target_organisms,source,in_lifechem,in_curated_any
EXT_00038,BESRNNXBPJIRJI-UHFFFAOYSA-N,CC(C)c1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,1,CHEMBL2286428,3,2,1,7.82,7.76,"EC50,IC50","Drosophila melanogaster,Spodoptera frugiperda,Spodoptera littoralis",ChEMBL,False,False
EXT_00039,BFGJSMAQQPSMEH-UHFFFAOYSA-N,CN1CCN(NC(=S)S)CC1,1,CHEMBL2023164,2,2,0,9.05,8.455,Ki,Drosophila melanogaster,ChEMBL,False,False
EXT_00040,BGOCFQMFHYPMOD-UHFFFAOYSA-N,CCOP(=O)(OCC)SCCCCCCN1C(=O)c2ccccc2C1=O,1,CHEMBL2252850,2,2,0,5.42,5.225,IC50,"Drosophila melanogaster,Musca domestica",ChEMBL,False,False
EXT_00041,BGRJTUBHPOOWDU-UHFFFAOYSA-N,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,1,CHEMBL26,1,1,0,7.53,7.53,Ki,Anopheles gambiae,ChEMBL,False,False
EXT_00042,BHMZJUVAVWRNLN-QXMHVHEDSA-N,Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O,1,CHEMBL101135,1,1,0,5.48,5.48,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00043,BHOUZQSCLBIKOC-UHFFFAOYSA-N,CCCONCCOc1ccc(Oc2cccc(C)c2)cc1,1,CHEMBL2271807,1,1,0,8.76,8.76,IC50,Culex pipiens,ChEMBL,False,False
EXT_00044,BHSQODKUEYDLIS-UHFFFAOYSA-N,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1C(F)(F)F,1,CHEMBL2286420,3,2,1,6.1,5.44,EC50,"Drosophila melanogaster,Spodoptera littoralis",ChEMBL,False,False
EXT_00045,BLOFGONIVNXZME-YDMGZANHSA-N,CS[C@@H]1[C@@H](N)[C@@H](O)[C@@H](O)[C@H]1O,1,CHEMBL9623,1,1,0,6.82,6.82,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00046,BMOVRSNYGHMRBE-UHFFFAOYSA-N,CCCCCC[Se]CC(=O)C(F)(F)F,1,CHEMBL153177,1,1,0,6.46,6.46,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00048,BMTTUHNUPKSNHI-NBNOIDAGSA-N,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,CHEMBL559941,1,1,0,6.1,6.1,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00049,BMTTUHNUPKSNHI-XCTRBCSVSA-N,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,CHEMBL560796,1,1,0,5.02,5.02,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00050,BMZVQAWCJXIJDE-WMYNLDKDSA-N,CSCC[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]3CSSC[C@H](NC(=O)[C@H](C(C)C)NC1=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c4ccccc14)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CSSC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC3=O)C(=O)N2,1,CHEMBL2272095,2,2,0,7.6,7.595,IC50,Blattella germanica,ChEMBL,False,False
EXT_00051,BODMOCLWYAYDCG-UHFFFAOYSA-N,CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccccc4)cc3)CC2)CC1,1,CHEMBL3965046,5,5,0,6.68,6.66,IC50,"Aedes aegypti,Anopheles gambiae",ChEMBL,False,False
EXT_00052,BOMYNNLDMFJZHK-UHFFFAOYSA-N,CC(C)ONCCCOc1ccc(Cc2ccccc2)cc1,1,CHEMBL2271813,1,1,0,9.49,9.49,IC50,Culex pipiens,ChEMBL,False,False
EXT_00054,BPSWISYORIWKCT-FCGWLDPVSA-N,CC(C)CNC(=O)/C=C/C=C/CC/C=C/c1ccc2c(c1)OCO2,1,CHEMBL255152,1,1,0,,,LC50,Aedes aegypti,ChEMBL,False,False
EXT_00055,BQCRLWBELMWYQA-UHFFFAOYSA-N,CCCN(CCC)C(=S)S,1,CHEMBL2023720,2,2,0,8.41,8.02,Ki,Drosophila melanogaster,ChEMBL,False,False
EXT_00056,BQPFJKYLPCZFDB-BFHYXJOUSA-N,CCCCc1cn([C@H]2C[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]2CO)nn1,1,CHEMBL1089805,1,1,0,5.39,5.39,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00057,BTERSLVHOGVBSY-LDADJPATSA-N,CCC(CC)Oc1ccc(OCC/C=N/OC(C)C)cc1,1,CHEMBL2271837,1,1,0,9.3,9.3,IC50,Culex pipiens,ChEMBL,False,False
EXT_00058,BUGJJYHVKQGOSI-GZTJUZNOSA-N,CCO/N=C/COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,1,CHEMBL2271477,1,1,0,7.08,7.08,IC50,Culex pipiens,ChEMBL,False,False
EXT_00060,BVPTZDRKEDPTOX-WBMJQRKESA-N,COC(=O)[C@]12Oc3cc(C)cc(O)c3C(=O)C1=CC=C[C@H]2O,1,CHEMBL91382,1,1,0,5.66,5.66,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00062,BWPRZTNWIXWGLA-HNNXBMFYSA-N,C=CCCCCCCCCCCC1=C[C@H](C)OC1=O,1,CHEMBL477914,1,1,0,,,LC50,Aedes aegypti,ChEMBL,False,False
EXT_00063,BWSMJWLWXNCHHP-UHFFFAOYSA-N,Cn1nc(S(N)(=O)=O)sc1=N,1,CHEMBL6753,1,1,0,5.77,5.77,Ki,Anopheles gambiae,ChEMBL,False,False
EXT_00064,BXAOBODAUFERDG-KRWDZBQOSA-N,CC(C)CN1C[C@H](CCCCN)N=C(SCCC(N)=O)c2nn(CC(C)C)cc21,1,CHEMBL3944838,1,1,0,5.21,5.21,EC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00068,BYTBRPMPYKKSNU-UHFFFAOYSA-N,Cc1cccc(C(=O)NC(C)C)c1NC(=O)c1cnc(C(F)(F)F)nc1C(C)C,1,CHEMBL371110,2,2,0,,,LC50,"Plutella xylostella,Spodoptera frugiperda",ChEMBL,False,False
EXT_00069,BYZPUFVTFPWTAI-UHFFFAOYSA-N,Cc1cc(Cl)cc(C(=O)NC(C)C)c1NC(=O)c1cc(OC(F)F)nn1-c1ncccc1Cl,1,CHEMBL248990,2,2,0,,,LC50,"Plutella xylostella,Spodoptera frugiperda",ChEMBL,False,False
EXT_00070,BZDAOOXAQHTCFW-YBFXNURJSA-N,CCO/N=C/COc1ccc(Oc2cc(C)ccc2C)cc1,1,CHEMBL2271767,1,1,0,6.61,6.61,IC50,Culex pipiens,ChEMBL,False,False
EXT_00071,BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1,CHEMBL20,3,3,0,7.56,7.11,Ki,"Anopheles gambiae,Drosophila melanogaster",ChEMBL,False,False
EXT_00072,CAISBOLWNVMBDP-VGSWGCGISA-N,COc1ccc(C(=O)N2c3ccccc3[C@@H](Nc3ccccc3)C[C@H]2C)cc1,1,CHEMBL61240,1,1,0,5.84,5.84,EC50,Aedes aegypti,ChEMBL,False,False
EXT_00073,CAQVLEQDFJYVHE-UHFFFAOYSA-N,C=C1C(CC)=C(C#N)C(=O)N1c1cc(Cl)c(Cl)cc1Cl,1,CHEMBL1253279,1,1,0,5.14,5.14,IC50,Lucilia cuprina,ChEMBL,False,False
EXT_00074,CBQPQMSTIARRSA-UHFFFAOYSA-N,CC(C)CN(CC(C)C)C(=S)S,1,CHEMBL2023719,2,2,0,9.05,8.375,Ki,Drosophila melanogaster,ChEMBL,False,False
EXT_00075,CDBUBDOIZDUJLX-UHFFFAOYSA-N,Cc1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,1,CHEMBL2286719,3,3,0,7.28,6.66,"EC50,IC50","Drosophila melanogaster,Spodoptera frugiperda",ChEMBL,False,False
EXT_00076,CDUAFZYLGJINQX-UHFFFAOYSA-N,Cc1cc(C(F)(F)F)ccc1C(=O)Nc1c(C)cccc1C(=O)NC(C)C,1,CHEMBL198485,2,2,0,,,LC50,"Plutella xylostella,Spodoptera frugiperda",ChEMBL,False,False
EXT_00077,CEILSLWYFCDNGC-UHFFFAOYSA-N,O=C(O)CCCc1nc(-c2ccc(Br)cc2)no1,1,CHEMBL2442679,2,2,0,,,LC50,Aedes aegypti,ChEMBL,False,False
EXT_00078,CFRPSFYHXJZSBI-DHZHZOJOSA-N,CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,1,CHEMBL259728,1,1,0,7.96,7.96,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00079,CHQOEHPMXSHGCL-UHFFFAOYSA-N,O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,1,CHEMBL1201329,1,1,0,5.56,5.56,Ki,Musca domestica,ChEMBL,False,False
EXT_00081,CJZKOPDDNLGIFG-YKSBVNFPSA-N,Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3ccc(C)cc3)c3ccc(C)cc32)cc1,1,CHEMBL57199,1,1,0,5.3,5.3,EC50,Aedes aegypti,ChEMBL,False,False
EXT_00082,CJZKUTNGRZKBRH-UHFFFAOYSA-N,Cc1noc(C2CN3CCC2CC3)n1,1,CHEMBL279356,2,2,0,5.88,5.88,Ki,Drosophila melanogaster,ChEMBL,False,False
EXT_00083,CNKHSLKYRMDDNQ-UHFFFAOYSA-N,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,1,CHEMBL226969,2,2,0,6.34,5.725,EC50,"Drosophila melanogaster,Spodoptera littoralis",ChEMBL,False,False
EXT_00086,CQNYJHGGJQCAED-UHFFFAOYSA-N,CCCCOCCOc1ccc(CC(CC)CC)cc1,1,CHEMBL2272184,1,1,0,6.78,6.78,IC50,Culex pipiens,ChEMBL,False,False
EXT_00089,CTHBAHNIRMLDDP-UHFFFAOYSA-N,C#CCOCCCOc1ccc(Oc2ccccc2)cc1,1,CHEMBL2272149,1,1,0,9.01,9.01,IC50,Culex pipiens,ChEMBL,False,False
EXT_00090,CTSMDNJQLJHPFE-UHFFFAOYSA-N,CCCOCCCCOc1ccc(Oc2ccccc2)cc1,1,CHEMBL2271773,1,1,0,8.21,8.21,IC50,Culex pipiens,ChEMBL,False,False
EXT_00092,CUOBWTUYPBFNMO-VGSWGCGISA-N,COc1cccc(C(=O)N2c3ccccc3[C@@H](Nc3ccccc3)C[C@H]2C)c1,1,CHEMBL301407,1,1,0,6.16,6.16,EC50,Aedes aegypti,ChEMBL,False,False
EXT_00094,CVHZOJJKTDOEJC-UHFFFAOYSA-N,O=C1NS(=O)(=O)c2ccccc21,1,CHEMBL310671,1,1,0,7.02,7.02,Ki,Anopheles gambiae,ChEMBL,False,False
EXT_00096,CVQXBTHBORPBOY-UHFFFAOYSA-N,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(OC(F)F)nn1-c1ncccc1Cl,1,CHEMBL248989,2,2,0,,,LC50,"Plutella xylostella,Spodoptera frugiperda",ChEMBL,False,False
EXT_00097,CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)Oc1cccc2ccccc12,1,CHEMBL46917,1,1,0,6.7,6.7,IC50,Musca domestica,ChEMBL,False,False
EXT_00098,CWUFWAMBOVQRTB-HCTXVGCHSA-N,O=[N+]([O-])/N=C1\N(Cc2ccc(Cl)nc2)CCN1Cc1ccc(CN2CCN(Cc3ccc(Cl)nc3)/C2=N\[N+](=O)[O-])s1,1,CHEMBL2252497,1,1,0,6.82,6.82,Ki,Musca domestica,ChEMBL,False,False
EXT_00099,CXXGDPNBMSXXBY-UHFFFAOYSA-N,O=[N+]([O-])/N=C1\NCCN1Cc1cnc(Cl)c([N+](=O)[O-])c1,1,CHEMBL2287962,1,1,0,6.59,6.59,IC50,Musca domestica,ChEMBL,False,False
EXT_00101,CZIMVAXURLUEMM-UHFFFAOYSA-N,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(OCC(F)(F)F)nn1-c1ncccc1Cl,1,CHEMBL248991,2,2,0,,,LC50,"Plutella xylostella,Spodoptera frugiperda",ChEMBL,False,False
EXT_00103,DAYPAJSPEQJZTG-LDADJPATSA-N,CCO/N=C/COc1ccc(Oc2ccccc2OC)cc1,1,CHEMBL2271796,1,1,0,6.81,6.81,IC50,Culex pipiens,ChEMBL,False,False
EXT_00104,DCKXTHMJDCHKOD-PXLXIMEGSA-N,C(\CCOc1ccc(Cc2ccccc2)cc1)=N/OC1CCCC1,1,CHEMBL2271789,1,1,0,8.42,8.42,IC50,Culex pipiens,ChEMBL,False,False
EXT_00105,DDPUNGNZNRSVAQ-UHFFFAOYSA-N,CC(C)(C)N(NC(=O)c1ccc(-c2ccccc2)cc1)C(=O)c1ccccc1Cl,1,CHEMBL2286462,1,1,0,5.17,5.17,IC50,Spodoptera frugiperda,ChEMBL,False,False
EXT_00106,DDXMTFWTSYUWID-DVECYGJZSA-N,COc1ccc(C(=O)N2c3ccc(C)cc3[C@@H](Nc3ccc(C)cc3)C[C@H]2C)cc1,1,CHEMBL58056,1,1,0,5.27,5.27,EC50,Aedes aegypti,ChEMBL,False,False
EXT_00107,DEDJAQIARWQQIK-UHFFFAOYSA-N,CC(C)CONCCOc1ccc(Oc2ccccc2)cc1,1,CHEMBL2271775,1,1,0,8.51,8.51,IC50,Culex pipiens,ChEMBL,False,False
EXT_00109,DHGHDLRMOGDQNY-UHFFFAOYSA-N,c1ccc(COc2ccc(CN3CCc4ccccc4C3)cc2)cc1,1,CHEMBL3960962,1,1,0,5.54,5.54,IC50,Anopheles gambiae,ChEMBL,False,False
EXT_00111,DHYUGAILEKJFAV-UHFFFAOYSA-N,CN(C)CCCN1C(=O)CSC1c1cccc2ccccc12,1,CHEMBL5419436,1,1,0,6.19,6.19,IC50,Anopheles gambiae,ChEMBL,False,False
EXT_00112,DIRFUJHNVNOBMY-UHFFFAOYSA-N,CCC(C)c1ccccc1OC(=O)NC,1,CHEMBL226650,1,1,0,5.85,5.85,IC50,Musca domestica,ChEMBL,False,False
EXT_00114,DJHYRXYLAOIJPV-UDWIEESQSA-N,Cc1cccc(Oc2ccc(OCC/C=N/OC(C)C)cc2)c1,1,CHEMBL2271793,1,1,0,10.0,10.0,IC50,Culex pipiens,ChEMBL,False,False
EXT_00116,DLFBGJCOHIZRGA-CMKODMSKSA-N,CC(C)c1cc2c(c(O)c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1[C@@H](O)C2=O,1,CHEMBL2252749,1,1,0,,,LD50,Spodoptera littoralis,ChEMBL,False,False
EXT_00117,DLIIIERHFVFJBS-LDADJPATSA-N,CC/C=N/OCCOc1ccc(Oc2ccccc2)cc1,1,CHEMBL2271827,1,1,0,9.59,9.59,IC50,Culex pipiens,ChEMBL,False,False
EXT_00118,DMKMKCDASKTBRN-GBTQTLIESA-N,O=c1[nH]c(=O)n([C@H]2C[C@H](n3cc(-c4ccccc4)nn3)[C@@H](CO)O2)cc1/C=C/Br,1,CHEMBL1091931,1,1,0,5.54,5.54,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00120,DOSSBQVDQUEONJ-UHFFFAOYSA-N,C=CC(C#N)OC(=O)CC,1,CHEMBL2271402,1,1,0,,,LC50,Musca domestica,ChEMBL,False,False
EXT_00124,DQQAZNBREIZBNP-WUXMJOGZSA-N,COc1ccc(OC/C=N/NC(N)=S)cc1,1,CHEMBL3589422,2,1,1,6.22,6.22,"EC50,LC50",Aedes aegypti,ChEMBL,False,False
EXT_00126,DQVMENHTTZNOBQ-UHFFFAOYSA-N,c1ccc(-c2ccc(Nc3ccnc(NCc4cccnc4)n3)cc2)cc1,1,CHEMBL4553315,1,1,0,,,LC50,Aedes aegypti,ChEMBL,False,False
EXT_00130,DTVYAHOULQCSMS-JQANZLKUSA-N,CCCC[C@@]12C3CCN1[C@H]1C[C@H]2O[C@@]32O/C(=C3\OC(=O)C(C)=C3OC)[C@@H](C)[C@H]12,1,CHEMBL2304257,2,2,0,,,LC50,Spodoptera littoralis,ChEMBL,False,False
EXT_00131,DVOVYNQOONATSG-LICLKQGHSA-N,CC(C)Cc1ccc(OCC/C=N/OC(C)C)cc1,1,CHEMBL2268522,1,1,0,10.85,10.85,IC50,Culex pipiens,ChEMBL,False,False
EXT_00132,DVYAAFOTYKFVJB-UHFFFAOYSA-N,COC1(C)c2cn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)nc2CC1F,1,CHEMBL206707,1,1,0,7.0,7.0,IC50,Musca domestica,ChEMBL,False,False
EXT_00134,DXQTXFIMYPXSKO-ARFHVFGLSA-N,Cc1cn([C@H]2C[C@H](n3cc(CC4CCCC4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,1,CHEMBL1090134,1,1,0,5.52,5.52,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00136,DXXCCODWEPMLLB-GFCCVEGCSA-N,C[C@@H]1CNCCN1c1nc(Nc2cc(C(C)(C)C)[nH]n2)c2cccc(F)c2n1,1,CHEMBL5193085,1,1,0,5.32,5.32,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00137,DYUCMUSLCHASBW-UHFFFAOYSA-N,CCCOCCCOc1ccc(CC(CC)CC)cc1,1,CHEMBL2272185,1,1,0,8.17,8.17,IC50,Culex pipiens,ChEMBL,False,False
EXT_00138,DZXLJGQWDCOFFN-LDADJPATSA-N,CCO/N=C/COc1ccc(Oc2ccc(C)cc2)cc1,1,CHEMBL2271470,1,1,0,6.84,6.84,IC50,Culex pipiens,ChEMBL,False,False
EXT_00139,FABMTKINZZUCQP-UHFFFAOYSA-N,CC(C)(C)CCOC(=O)c1ccc(C#CCCC(=O)O)cc1,1,CHEMBL1684587,1,1,0,7.06,7.06,IC50,Musca domestica,ChEMBL,False,False
EXT_00140,FABQYDLGFZXBIK-VZUCSPMQSA-N,NC(=S)N/N=C/c1ccc(Cl)cc1,1,CHEMBL391982,1,1,0,,,LC50,Aedes aegypti,ChEMBL,False,False
EXT_00144,FDDDEECHVMSUSB-UHFFFAOYSA-N,Nc1ccc(S(N)(=O)=O)cc1,1,CHEMBL21,1,1,0,6.06,6.06,Ki,Anopheles gambiae,ChEMBL,False,False
